Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,53.779999,54.180000,53.180000,53.970001,48.991703,1592900
2019-01-03,53.970001,54.299999,53.840000,54.029999,49.046165,2188500
2019-01-04,54.290001,54.299999,53.360001,53.410000,48.483353,2234400
2019-01-07,53.430000,53.740002,53.049999,53.700001,48.746605,2900100
2019-01-08,53.840000,54.700001,53.799999,54.549999,49.518192,2700000
2019-01-09,54.610001,54.610001,54.090000,54.349998,49.336643,2040700
2019-01-10,54.240002,55.259998,54.000000,55.139999,50.053776,1776400
2019-01-11,55.139999,56.150002,55.009998,55.490002,50.371494,1782100
2019-01-14,55.500000,56.060001,55.060001,55.230000,50.135471,1586300
2019-01-15,55.049999,56.009998,54.820000,55.619999,50.489498,1481300
2019-01-16,55.580002,55.790001,55.340000,55.529999,50.407803,1355600
2019-01-17,55.450001,55.720001,55.360001,55.570000,50.444107,1213200
2019-01-18,55.830002,55.900002,55.450001,55.830002,50.680130,2169500
2019-01-21,56.040001,56.049999,55.310001,55.669998,50.534885,607300
2019-01-22,55.490002,55.810001,55.389999,55.759998,50.616589,1412000
2019-01-23,55.759998,55.950001,55.619999,55.820000,50.671051,1026000
2019-01-24,55.779999,55.930000,55.520000,55.930000,50.770908,1132500
2019-01-25,55.880001,56.169998,55.709999,56.029999,50.861679,1227900
2019-01-28,55.619999,56.430000,55.619999,56.410000,51.206627,3933200
2019-01-29,56.400002,57.139999,56.180000,56.950001,51.696819,1751900
2019-01-30,56.770000,56.889999,56.509998,56.740002,51.506187,1291600
2019-01-31,56.759998,57.209999,56.520000,57.130001,51.860214,1763000
2019-02-01,57.130001,57.180000,56.889999,57.060001,51.796669,942300
2019-02-04,57.060001,57.189999,56.930000,56.990002,51.733131,900500
2019-02-05,57.009998,57.570000,57.000000,57.400002,52.105309,1148700
2019-02-06,57.459999,57.560001,57.259998,57.560001,52.250553,802600
2019-02-07,57.560001,57.669998,56.950001,57.490002,52.187012,1513700
2019-02-08,57.389999,57.570000,57.160000,57.340000,52.050842,1026800
2019-02-11,57.389999,57.529999,56.910000,57.000000,51.742207,1205700
2019-02-12,57.130001,57.560001,56.810001,57.180000,51.905605,1248100
2019-02-13,57.259998,57.509998,56.900002,57.060001,51.796669,1116100
2019-02-14,57.119999,57.580002,56.950001,57.180000,51.905605,2370200
2019-02-15,57.279999,57.529999,57.070000,57.330002,52.041767,2841900
2019-02-19,57.299999,57.779999,57.220001,57.630001,52.314095,2298000
2019-02-20,57.599998,57.750000,57.360001,57.680000,52.359478,940300
2019-02-21,57.560001,58.060001,57.360001,57.889999,52.550110,1631600
2019-02-22,57.980000,58.340000,57.799999,58.090000,52.731659,1322600
2019-02-25,58.169998,58.509998,58.119999,58.360001,52.976761,1170400
2019-02-26,58.279999,58.689999,58.250000,58.430000,53.040302,3980200
2019-02-27,58.310001,58.459999,58.049999,58.419998,53.031219,2010100
2019-02-28,58.400002,58.820000,58.380001,58.520000,53.122002,2732400
2019-03-01,58.730000,58.830002,57.770000,57.910000,52.568264,2770800
2019-03-04,58.009998,58.279999,57.700001,58.250000,52.876900,2673500
2019-03-05,58.349998,58.779999,58.299999,58.349998,52.967674,1757600
2019-03-06,58.500000,58.970001,58.400002,58.900002,53.466946,2298400
2019-03-07,58.900002,59.320000,58.799999,58.970001,53.530487,2030200
2019-03-08,59.000000,59.419998,58.970001,59.180000,53.721115,1889100
2019-03-11,59.250000,59.650002,59.209999,59.520000,54.029755,5441700
2019-03-12,59.580002,59.720001,59.520000,59.599998,54.102375,2763000
2019-03-13,59.730000,59.790001,59.279999,59.590000,54.093300,2675200
2019-03-14,58.720001,58.950001,58.169998,58.310001,53.645252,3023800
2019-03-15,58.799999,59.020000,58.509998,58.919998,54.206448,5668100
2019-03-18,58.799999,59.250000,58.660000,59.130001,54.399654,1877600
2019-03-19,59.130001,59.150002,58.580002,58.919998,54.206448,2558000
2019-03-20,58.830002,59.040001,58.709999,58.709999,54.013256,1558900
2019-03-21,58.580002,59.189999,58.580002,59.029999,54.307655,1385100
2019-03-22,58.959999,59.189999,58.799999,59.169998,54.436451,2152500
2019-03-25,59.200001,59.470001,59.029999,59.180000,54.445660,2124000
2019-03-26,59.160000,59.610001,59.160000,59.410000,54.657253,2139500
2019-03-27,59.369999,59.750000,59.369999,59.529999,54.767658,2585100
2019-03-28,59.509998,59.849998,59.340000,59.389999,54.638855,5456600
2019-03-29,59.480000,59.480000,58.980000,59.340000,54.592854,2528400
2019-04-01,59.490002,59.500000,58.990002,59.139999,54.408855,2834500
2019-04-02,59.130001,59.650002,59.049999,59.619999,54.850460,1427400
2019-04-03,59.619999,59.750000,59.439999,59.560001,54.795258,1580500
2019-04-04,59.529999,59.820000,59.450001,59.650002,54.878056,1720700
2019-04-05,59.750000,59.799999,59.570000,59.790001,55.006863,916400
2019-04-08,59.570000,59.840000,59.450001,59.689999,54.914860,1679800
2019-04-09,59.549999,59.660000,59.349998,59.509998,54.749252,1112100
2019-04-10,59.590000,59.939999,59.549999,59.830002,55.043659,1153100
2019-04-11,59.910000,60.540001,59.840000,60.209999,55.393257,1773600
2019-04-12,60.220001,60.529999,60.209999,60.509998,55.669258,1260100
2019-04-15,60.259998,60.990002,60.259998,60.680000,55.825661,1583200
2019-04-16,60.810001,60.950001,60.560001,60.570000,55.724457,990400
2019-04-17,60.700001,60.700001,60.330002,60.509998,55.669258,1014100
2019-04-18,60.369999,60.840000,60.070000,60.810001,55.945255,1122100
2019-04-22,60.590000,60.779999,59.980000,60.060001,55.255257,1049800
2019-04-23,60.049999,60.330002,59.900002,60.279999,55.457657,1737100
2019-04-24,60.220001,60.310001,59.720001,60.020000,55.218452,1347200
2019-04-25,59.990002,60.180000,59.669998,60.049999,55.246056,1104200
2019-04-26,60.160000,60.320000,59.799999,60.200001,55.384056,1014300
2019-04-29,60.150002,60.310001,59.990002,60.009998,55.209255,752800
2019-04-30,59.889999,60.049999,59.770000,59.939999,55.144852,1515100
2019-05-01,59.939999,60.150002,59.889999,60.049999,55.246056,869000
2019-05-02,59.770000,60.009998,59.419998,59.779999,54.997662,3741100
2019-05-03,59.509998,60.000000,59.410000,59.660000,54.887260,2223200
2019-05-06,59.299999,59.689999,59.259998,59.689999,54.914860,1587500
2019-05-07,59.500000,59.880001,59.380001,59.709999,54.933254,1371200
