Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,25.490000,26.320000,25.209999,25.830000,25.830000,772542
2019-01-03,25.860001,25.860001,24.750000,25.110001,25.110001,1039727
2019-01-04,25.330000,26.770000,25.280001,26.690001,26.690001,1023931
2019-01-07,26.629999,26.840000,26.309999,26.719999,26.719999,1153533
2019-01-08,26.780001,27.010000,26.100000,26.660000,26.660000,973847
2019-01-09,26.650000,27.000000,26.360001,26.770000,26.770000,805404
2019-01-10,26.510000,26.730000,25.750000,26.540001,26.540001,1422896
2019-01-11,27.000000,27.559999,26.799999,27.219999,27.219999,1737124
2019-01-14,27.129999,28.040001,27.000000,27.530001,27.530001,1081073
2019-01-15,27.600000,28.020000,27.459999,27.570000,27.570000,1127993
2019-01-16,27.639999,28.139999,27.639999,28.040001,28.040001,1618549
2019-01-17,27.840000,28.600000,27.690001,28.340000,28.340000,1131680
2019-01-18,28.400000,28.510000,27.889999,28.280001,28.280001,1209049
2019-01-21,28.150000,28.530001,28.110001,28.459999,28.459999,319159
2019-01-22,28.270000,28.430000,27.730000,27.980000,27.980000,847584
2019-01-23,27.930000,28.379999,27.790001,27.980000,27.980000,957356
2019-01-24,28.040001,28.780001,28.000000,28.440001,28.440001,816378
2019-01-25,28.600000,28.660000,28.400000,28.540001,28.540001,813532
2019-01-28,28.420000,29.030001,28.350000,28.610001,28.610001,1096285
2019-01-29,28.660000,29.084999,28.660000,28.930000,28.930000,1033814
2019-01-30,29.100000,29.510000,28.910000,29.240000,29.240000,818339
2019-01-31,29.299999,29.830000,29.250000,29.670000,29.670000,731649
2019-02-01,29.790001,30.480000,29.750000,30.219999,30.219999,1724609
2019-02-04,30.299999,30.570000,30.219999,30.280001,30.280001,1094230
2019-02-05,30.379999,31.280001,30.180000,31.209999,31.209999,1373938
2019-02-06,31.280001,31.620001,30.620001,31.320000,31.320000,1646036
2019-02-07,31.150000,31.200001,30.459999,31.180000,31.180000,1279912
2019-02-08,31.049999,31.500000,30.900000,31.360001,31.360001,1013492
2019-02-11,31.500000,31.860001,31.230000,31.680000,31.680000,1265370
2019-02-12,31.700001,32.119999,31.670000,31.690001,31.690001,1771017
2019-02-13,31.799999,31.809999,31.080000,31.639999,31.639999,1117315
2019-02-14,31.730000,32.020000,31.230000,31.980000,31.980000,1235205
2019-02-15,30.610001,33.580002,30.600000,33.150002,33.150002,3147736
2019-02-19,33.380001,33.919998,32.990002,33.020000,33.020000,1217573
2019-02-20,32.799999,33.250000,32.330002,32.889999,32.889999,1170060
2019-02-21,32.750000,33.459999,32.630001,33.299999,33.299999,945661
2019-02-22,33.340000,33.919998,32.919998,33.139999,33.139999,934202
2019-02-25,33.150002,33.529999,33.020000,33.400002,33.400002,803700
2019-02-26,33.389999,34.119999,33.020000,33.919998,33.919998,1266623
2019-02-27,33.990002,34.650002,33.869999,34.270000,34.270000,2069816
2019-02-28,35.000000,35.500000,32.880001,33.110001,33.110001,3089852
2019-03-01,33.599998,34.130001,33.349998,34.000000,34.000000,1754934
2019-03-04,34.099998,34.349998,33.310001,33.599998,33.599998,1383037
2019-03-05,33.529999,33.540001,32.770000,33.020000,33.020000,1405014
2019-03-06,32.939999,33.419998,32.470001,32.779999,32.779999,1502749
2019-03-07,32.560001,33.029999,32.099998,33.000000,33.000000,1241870
2019-03-08,32.590000,33.369999,32.400002,33.160000,33.160000,984579
2019-03-11,32.599998,33.400002,32.580002,33.360001,33.360001,745276
2019-03-12,33.349998,33.430000,31.920000,32.040001,32.040001,1503163
2019-03-13,32.000000,32.689999,31.350000,32.009998,32.009998,2470081
2019-03-14,31.900000,32.180000,31.650000,31.889999,31.889999,795214
2019-03-15,31.330000,32.340000,30.959999,31.660000,31.660000,3048131
